step,entropy
2378,2.079434
2383,2.079161
2384,2.079437
2385,2.079441
2386,2.079441
2387,2.07944
2391,2.079441
2392,2.079441
2393,2.079439
2396,2.079441
2397,2.079442
2398,2.079442
2401,2.079441
2405,2.079441
2407,2.079441
2409,2.079441
2410,2.079442
2411,2.079441
2412,2.079434
2417,2.079441
2418,2.079442
2419,2.07944
2420,2.079441
2421,2.079441
2422,2.079441
2423,2.079441
2424,2.079437
2425,2.079441
2429,2.079441
2431,2.079441
2432,2.07944
2433,2.079441
2435,2.079441
2437,2.0791
2438,2.079441
2439,2.079441
2440,2.079441
2443,2.07944
2446,2.079442
2447,2.079441
2451,2.079441
2453,2.079441
2456,2.079442
2458,2.079441
2460,2.079442
2461,2.079439
2464,2.079441
2465,2.079441
2467,2.079441
2468,2.079441
2469,2.079441
2470,2.079441
2471,2.079442
2472,2.079441
2473,2.079441
2477,2.07944
2478,2.079441
2479,2.079441
2480,2.079439
2481,2.079441
2482,2.079442
2483,2.079442
2484,2.07944
2486,2.079441
2487,2.079441
2489,2.079441
2490,2.079442
2494,2.079441
2495,2.07944
2496,2.079441
2497,2.07944
2499,2.079441
2500,2.079441
2501,2.079441
2502,2.07944
2504,2.079441
2506,2.079441
2507,2.079441
2510,2.079441
2511,2.079441
2515,2.079441
2520,2.079442
2521,2.079441
2522,2.079441
2524,2.079241
2525,2.079441
2528,2.079427
2529,2.079441
2530,2.079441
2531,2.079442
2532,2.07944
2534,2.079441
2535,2.079441
2537,2.079441
2538,2.079441
2539,2.079441
2540,2.079442
2541,2.079441
2545,2.079441
2546,2.079441
2547,2.079442
2550,2.079442
2551,2.079442
2552,2.078886
2555,2.079441
2556,2.079403
2559,2.079441
2560,2.079441
2565,2.079438
2567,2.079441
2569,2.07944
2570,2.079441
2572,2.079442
2573,2.079441
2577,2.079441
2578,2.079442
2580,2.079441
2581,2.079442
2584,2.07944
2588,2.079439
2590,2.079442
2591,2.079441
2593,2.079441
2594,2.079442
2597,2.079441
2598,2.079441
2600,2.079441
2603,2.079441
2605,2.079441
2607,2.079438
2608,2.07944
2610,2.079442
2613,2.079441
2615,2.079441
2616,2.079441
2618,2.079441
2621,2.079437
2624,2.079441
2625,2.079442
2629,2.079441
2630,2.079441
2632,2.079441
2633,2.079441
2634,2.079441
2635,2.079439
2636,2.079441
2638,2.079441
2639,2.079441
2642,2.079441
2643,2.079441
2644,2.079441
2645,2.079441
2646,2.079441
2647,2.079441
2648,2.079441
2650,2.079441
2652,2.079315
2653,2.079441
2655,2.079441
2657,2.079442
2660,2.079439
2662,2.079441
2663,2.079442
2665,2.07944
2666,2.079441
2668,2.079441
2669,2.07944
2671,2.079441
2674,2.079442
2675,2.079441
2676,2.079441
2679,2.07944
2680,2.079441
2681,2.079441
2682,2.07944
2684,2.079441
2687,2.079441
2689,2.079441
2690,2.07944
2691,2.079441
2694,2.079441
2695,2.079442
2698,2.079441
2699,2.079441
2700,2.079442
2701,2.079007
2702,2.079441
2706,2.079442
2707,2.079441
2709,2.079437
2710,2.079442
2711,2.079442
2712,2.079072
2717,2.07944
2718,2.079441
2719,2.07944
2720,2.079441
2721,2.079442
2722,2.079189
2727,2.079441
2728,2.079441
2732,2.079441
2735,2.079441
2737,2.079197
2739,2.079441
2742,2.079441
2743,2.079442
2745,2.079441
2748,2.079441
2749,2.07944
2750,2.079441
2752,2.079441
2753,2.079441
2754,2.079441
2758,2.079441
2759,2.079442
2760,2.079441
2761,2.079441
2762,2.079441
2764,2.079441
2765,2.079442
2767,2.079441
2768,2.079441
2771,2.079441
2774,2.079441
2775,2.079441
2777,2.07944
2779,2.079441
2780,2.079441
2782,2.079441
2783,2.079442
2784,2.079441
2786,2.079441
2788,2.079441
2789,2.079441
2790,2.079441
2791,2.079433
2792,2.079439
2793,2.079441
2795,2.07904
2797,2.079441
2798,2.079441
2799,2.07944
2800,2.079442
2801,2.079441
2802,2.07944
2805,2.079442
2806,2.079442
2808,2.07944
2811,2.079441
2813,2.079442
2814,2.079442
2816,2.079441
2817,2.079441
2819,2.079441
2820,2.079441
2821,2.079441
2822,2.079441
2824,2.079438
2826,2.079441
2827,2.079441
2828,2.079088
2830,2.079441
2831,2.079442
2832,2.079441
2834,2.079441
2836,2.07944
2837,2.079441
2840,2.079441
2844,2.079436
2845,2.079442
2847,2.079441
2848,2.079441
2849,2.079442
2850,2.07944
2851,2.079441
2852,2.079441
2855,2.079441
2858,2.079442
2860,2.079441
2861,2.07944
2863,2.079442
2864,2.079442
2866,2.079441
2868,2.079441
2869,2.079442
2872,2.079441
2873,2.079441
2874,2.079441
2875,2.079441
2881,2.079441
2884,2.079441
2885,2.079439
2887,2.079441
2892,2.079441
2893,2.079442
2895,2.07944
2897,2.079442
2898,2.079441
2901,2.079439
2902,2.079441
2906,2.079442
2907,2.079441
2908,2.079441
2909,2.079441
2912,2.079442
2913,2.079441
2915,2.079441
2916,2.079441
2919,2.079442
2920,2.079441
2923,2.079441
2924,2.07944
2925,2.079441
2926,2.079441
2928,2.079441
2929,2.079441
2930,2.079441
2931,2.079441
2933,2.079442
2934,2.079441
2935,2.079441
2937,2.079441
2938,2.079441
2939,2.079441
2940,2.079441
2941,2.079441
2942,2.079442
2943,2.079442
2944,2.079441
2945,2.079441
2946,2.079441
2947,2.079441
2948,2.079441
2949,2.079441
2950,2.079238
2951,2.079441
2952,2.079441
2955,2.079441
2956,2.079441
2958,2.079442
2959,2.079441
2960,2.079441
2961,2.07944
2964,2.079442
2965,2.079441
2966,2.079441
2967,2.079442
2970,2.079441
2972,2.079442
2974,2.079441
2975,2.079439
2976,2.079441
2978,2.07944
2979,2.079442
2981,2.079442
2982,2.079441
2983,2.079442
2984,2.07944
2985,2.079441
2987,2.079442
2989,2.079442
2991,2.079441
2992,2.079441
2993,2.079442
2994,2.079442
2995,2.079442
2997,2.079441
2998,2.079441
3000,2.079442
3001,2.079441
3003,2.079441
3004,2.079441
3005,2.07944
3006,2.079441
3008,2.079442
3009,2.079441
3011,2.079442
3012,2.079441
3013,2.079441
3014,2.079442
3015,2.07944
3016,2.079442
3017,2.079441
3018,2.079441
