step,loss,ema,perplexity,id_loss,lr,conf_mean,ent_mean,brier,abstain_ratio,chosen_steps,avg_steps,s_max,inflation_rate,high_step_prob,rule_acc,top5_acc,avg_top1_prob,cloze_transition,gate_pass_60_95,z_lang_norm,z_logic_norm,z_bridge_norm,mem_size,rejector_score,tau_r,coverage,use_autonomous,difficulty_level,composite_score,abstain_cap,force_write_enabled,fw_ce,fw_len_pen
11,9.0397,9.505,8431.324,8.6983,8.8e-05,0.2954,9.1924,0.0506,1.0,10,10.0,10,1.6667,0.0,0.0704,0.1021,0.0007,0.0789,0.0,0.09,0.09,0.2305,0,0.0,0.5,0.0,0,0,2.1184,1.0,1,9.7006,0.0
12,8.7417,9.4669,6258.4138,8.6031,9.6e-05,0.2939,9.1917,0.0111,1.0,10,10.0,10,1.6667,0.0,0.1882,0.1882,0.0011,0.1282,0.0,0.0909,0.0909,0.2104,0,0.0,0.5,0.0,0,0,1.9336,1.0,0,0.0,0.0
13,8.7056,9.4288,6036.5927,8.3118,0.000104,0.2979,9.189,0.0228,1.0,10,10.0,10,1.6667,0.0,0.1435,0.1435,0.0019,0.1579,0.0,0.0978,0.0978,0.2068,0,0.0,0.5,0.0,0,0,1.8999,1.0,0,0.0,0.0
14,8.4366,9.3792,4612.7158,8.2833,0.000112,0.3013,9.1852,0.015,1.0,10,10.0,10,1.6667,0.0,0.1768,0.1768,0.0035,0.0909,0.0,0.0899,0.0899,0.2244,0,0.0,0.5,0.0,0,0,2.0609,1.0,0,0.0,0.0
15,8.5839,9.3394,5345.1164,8.251,0.00012,0.3044,9.1786,0.0311,1.0,10,10.0,10,1.6667,0.0,0.125,0.125,0.0055,0.037,0.0,0.0767,0.0767,0.1895,0,0.0,0.5,0.0,0,0,1.7396,1.0,0,0.0,0.0
16,8.1734,9.2811,3545.3674,7.7807,0.000128,0.3086,9.1647,0.0106,1.0,10,10.0,10,1.6667,0.0,0.2078,0.2597,0.0097,0.1579,0.0,0.1149,0.1149,0.2964,0,0.0,0.5,0.0,0,0,2.7164,1.0,0,0.0,0.0
17,7.7122,9.2027,2235.4563,7.7898,0.00013600000000000003,0.3174,9.1422,0.006,1.0,10,10.0,10,1.6667,0.0,0.2406,0.3008,0.0159,0.1282,0.0,0.136,0.136,0.3378,0,0.0,0.5,0.0,0,0,3.0883,1.0,0,0.0,0.0
18,7.5711,9.1211,1941.3703,7.6956,0.000144,0.3257,9.1055,0.0095,1.0,10,10.0,10,1.6667,0.0,0.2286,0.2857,0.0247,0.1282,0.0,0.136,0.136,0.3364,0,0.0,0.5,0.0,0,0,3.0634,1.0,0,0.0,0.0
19,8.2842,9.0793,3960.8655,7.7142,0.000152,0.3313,9.0605,0.0517,1.0,10,10.0,10,1.6667,0.0,0.1032,0.129,0.0318,0.0909,0.0,0.1262,0.1262,0.2794,0,0.0,0.5,0.0,0,0,2.5311,1.0,0,0.0,0.0
20,8.0303,9.0268,3072.6198,7.4036,0.00016,0.3364,8.9952,0.0389,1.0,10,10.0,10,1.6667,0.0,0.1373,0.176,0.047,0.1556,0.0,0.1209,0.1209,0.2655,0,0.0,0.5,0.0,0,0,2.3882,1.0,1,9.0523,0.0
21,7.2475,8.9378,1404.5675,7.6225,0.00016800000000000002,0.3484,8.925,0.0112,1.0,10,10.0,10,1.6667,0.0,0.2424,0.3561,0.0622,0.1,0.0,0.1372,0.1372,0.3214,0,0.0,0.5,0.0,0,0,2.8683,1.0,0,0.0,0.0
22,7.8607,8.884,2593.3156,7.4744,0.000176,0.3574,8.8746,0.0419,1.0,10,10.0,10,1.6667,0.0,0.1509,0.2123,0.0696,0.0909,0.0,0.0894,0.0894,0.2328,0,0.0,0.5,0.0,0,0,2.0663,1.0,0,0.0,0.0
23,7.6921,8.8244,2191.0001,7.1611,0.000184,0.3706,8.8023,0.0506,1.0,10,10.0,10,1.6667,0.0,0.1448,0.2262,0.0809,0.0769,0.0,0.1618,0.1618,0.3316,0,0.0,0.5,0.0,0,0,2.9188,1.0,0,0.0,0.0
