step,action,reason,sim_max,surprise,surp_norm,entropy,topk,used_key_id,shadow_size,mem_size
1047,commit,add,0.5842949151992798,0.516620546579361,1.1512593997083813,2.0768473148345947,6,2,220,118
1048,stage,staged,,,,,6,,221,118,0.1319
1049,stage,staged,,,,,6,,222,118,0.4391
1011,promote,shadow_promote,,,,,6,,217,119
1036,promote,shadow_promote,,,,,6,,217,120
1044,promote,shadow_promote,,,,,6,,217,121
1034,promote,shadow_promote,,,,,6,,217,122
1000,promote,shadow_promote,,,,,6,,217,123
1051,stage,staged,,,,,6,,218,123,0.6094
1052,stage,staged,,,,,6,,219,123,0.6447
1054,stage,staged,,,,,6,,220,123,0.1306
1057,stage,staged,,,,,6,,221,123,0.6794
1058,stage,staged,,,,,6,,222,123,0.6729
1061,stage,staged,,,,,6,,223,123,0.6344
1063,stage,staged,,,,,6,,224,123,0.6144
1064,stage,staged,,,,,6,,225,123,0.6278
1066,stage,staged,,,,,6,,226,123,0.6322
1067,stage,staged,,,,,6,,227,123,0.6128
1068,stage,staged,,,,,6,,228,123,0.6522
1070,stage,staged,,,,,6,,229,123,0.6313
1072,stage,staged,,,,,6,,230,123,0.6213
1073,stage,staged,,,,,6,,231,123,0.1999
1074,stage,staged,,,,,6,,232,123,0.6323
1078,stage,staged,,,,,6,,233,123,0.624
1079,stage,staged,,,,,6,,234,123,0.62
1081,stage,staged,,,,,6,,235,123,0.6291
1082,stage,staged,,,,,6,,236,123,0.4092
1084,stage,staged,,,,,6,,237,123,0.2662
1085,stage,staged,,,,,6,,238,123,0.6347
1086,stage,staged,,,,,6,,239,123,0.6786
1089,stage,staged,,,,,6,,240,123,0.0577
1090,stage,staged,,,,,6,,241,123,0.6438
1093,stage,staged,,,,,6,,242,123,0.6354
1094,stage,staged,,,,,6,,243,123,0.6242
1096,stage,staged,,,,,6,,244,123,0.2535
1086,promote,shadow_promote,,,,,6,,236,124
1057,promote,shadow_promote,,,,,6,,236,125
1058,promote,shadow_promote,,,,,6,,236,126
1068,promote,shadow_promote,,,,,6,,236,127
1090,promote,shadow_promote,,,,,6,,236,128
1052,promote,shadow_promote,,,,,6,,236,129
1093,promote,shadow_promote,,,,,6,,236,130
1085,promote,shadow_promote,,,,,6,,236,131
1100,stage,staged,,,,,6,,237,131,0.6684
1101,stage,staged,,,,,6,,238,131,0.6071
1102,stage,staged,,,,,6,,239,131,0.6693
